ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,VIDEO,SYSTEM2.TXT,0.25905,0.02143,0.03958,1
ROUGE-2,VIDEO,SYSTEM1.TXT,0.21380,0.02140,0.03890,1
